Gen,ratio
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,0.989796
13,1
14,0.989796
15,0.989796
16,0.989796
17,0.979592
18,0.989796
19,0.989796
20,0.979167
21,0.958333
22,0.96875
23,0.958333
24,0.96875
25,0.958333
26,0.979167
27,0.979167
28,0.979167
29,0.979167
30,0.96875
31,0.96875
32,0.958333
33,0.96875
34,0.947917
35,0.947917
36,0.927083
37,0.927083
38,0.9375
39,0.895833
40,0.949495
41,0.848485
42,0.818182
43,0.474747
44,0.515152
45,0.515152
46,0.484848
47,0.40404
48,0.484848
49,0.434343
50,0.353535
51,0.343434
52,0.30303
53,0.30303
54,0.30303
55,0.323232
56,0.282828
57,0.272727
58,0.30303
59,0.292929
60,0.281553
61,0.291262
62,0.320388
63,0.31068
64,0.281553
65,0.271845
66,0.271845
67,0.271845
68,0.291262
69,0.271845
70,0.281553
71,0.291262
72,0.252427
73,0.262136
74,0.291262
75,0.242718
76,0.271845
77,0.271845
78,0.271845
79,0.271845
80,0.287129
81,0.29703
82,0.237624
83,0.257426
84,0.287129
85,0.257426
86,0.287129
87,0.306931
88,0.257426
89,0.247525
90,0.247525
91,0.267327
92,0.237624
93,0.267327
94,0.257426
95,0.257426
96,0.217822
97,0.247525
98,0.237624
99,0.277228
100,0.30303
101,0.30303
102,0.323232
103,0.313131
104,0.323232
105,0.262626
106,0.282828
107,0.30303
108,0.30303
109,0.292929
110,0.262626
111,0.30303
112,0.282828
113,0.30303
114,0.292929
115,0.313131
116,0.313131
117,0.313131
118,0.292929
119,0.272727
120,0.229167
121,0.229167
122,0.229167
123,0.208333
124,0.229167
125,0.21875
126,0.21875
127,0.197917
128,0.208333
129,0.208333
130,0.208333
131,0.208333
132,0.208333
133,0.208333
134,0.1875
135,0.1875
136,0.208333
137,0.208333
138,0.1875
139,0.1875
140,0.28
141,0.22
142,0.29
143,0.26
144,0.24
145,0.26
146,0.2
147,0.22
148,0.23
149,0.22
150,0.24
151,0.24
152,0.22
153,0.24
154,0.23
155,0.24
156,0.2
157,0.2
158,0.2
159,0.22
160,0.29703
161,0.287129
162,0.257426
163,0.257426
164,0.267327
165,0.257426
166,0.227723
167,0.267327
168,0.237624
169,0.237624
170,0.237624
171,0.19802
172,0.217822
173,0.19802
174,0.19802
175,0.227723
176,0.19802
177,0.217822
178,0.19802
179,0.237624
180,0.142857
181,0.142857
182,0.142857
183,0.142857
184,0.142857
185,0.163265
186,0.122449
187,0.142857
188,0.122449
189,0.122449
190,0.142857
191,0.132653
192,0.142857
193,0.102041
194,0.163265
195,0.142857
196,0.142857
197,0.142857
198,0.122449
199,0.142857
200,0.27451
201,0.284314
202,0.294118
203,0.254902
204,0.264706
205,0.254902
206,0.245098
207,0.254902
208,0.27451
209,0.254902
210,0.254902
211,0.22549
212,0.27451
213,0.22549
214,0.245098
215,0.22549
216,0.235294
217,0.205882
218,0.245098
219,0.196078
220,0.181818
221,0.181818
222,0.171717
223,0.181818
224,0.181818
225,0.181818
226,0.161616
227,0.161616
228,0.151515
229,0.161616
230,0.151515
231,0.151515
232,0.161616
233,0.121212
234,0.141414
235,0.121212
236,0.141414
237,0.10101
238,0.121212
239,0.121212
240,0.233645
241,0.224299
242,0.224299
243,0.205607
244,0.214953
245,0.224299
246,0.205607
247,0.242991
248,0.205607
249,0.242991
250,0.214953
251,0.224299
252,0.224299
253,0.186916
254,0.186916
255,0.196262
256,0.224299
257,0.224299
258,0.224299
259,0.205607
260,0.20202
261,0.20202
262,0.161616
263,0.181818
264,0.20202
265,0.161616
266,0.181818
267,0.171717
268,0.20202
269,0.181818
270,0.161616
271,0.161616
272,0.161616
273,0.161616
274,0.161616
275,0.181818
276,0.161616
277,0.141414
278,0.141414
279,0.121212
280,0.178218
281,0.188119
282,0.158416
283,0.138614
284,0.168317
285,0.158416
286,0.138614
287,0.178218
288,0.138614
289,0.118812
290,0.148515
291,0.118812
292,0.138614
293,0.148515
294,0.138614
295,0.138614
296,0.118812
297,0.138614
298,0.128713
299,0.138614
300,0.115385
301,0.153846
302,0.134615
303,0.125
304,0.0961538
305,0.125
306,0.105769
307,0.134615
308,0.125
309,0.125
310,0.115385
311,0.134615
312,0.134615
313,0.115385
314,0.115385
315,0.0961538
316,0.0865385
317,0.105769
318,0.125
319,0.115385
320,0.08
321,0.13
322,0.1
323,0.06
324,0.12
325,0.12
326,0.12
327,0.1
328,0.06
329,0.08
330,0.08
331,0.06
332,0.09
333,0.11
334,0.1
335,0.11
336,0.06
337,0.06
338,0.1
339,0.1
340,0.137255
341,0.156863
342,0.117647
343,0.137255
344,0.156863
345,0.137255
346,0.156863
347,0.127451
348,0.156863
349,0.137255
350,0.117647
351,0.137255
352,0.127451
353,0.117647
354,0.117647
355,0.156863
356,0.127451
357,0.137255
358,0.137255
359,0.137255
360,0.181818
361,0.131313
362,0.151515
363,0.161616
364,0.141414
365,0.121212
366,0.141414
367,0.141414
368,0.141414
369,0.141414
370,0.131313
371,0.141414
372,0.141414
373,0.141414
374,0.151515
375,0.141414
376,0.10101
377,0.141414
378,0.121212
379,0.121212
380,0.217822
381,0.227723
382,0.188119
383,0.19802
384,0.178218
385,0.158416
386,0.188119
387,0.168317
388,0.158416
389,0.188119
390,0.168317
391,0.158416
392,0.138614
393,0.188119
394,0.158416
395,0.158416
396,0.148515
397,0.118812
398,0.118812
399,0.168317
400,0.173077
401,0.163462
402,0.163462
403,0.153846
404,0.173077
405,0.134615
406,0.163462
407,0.115385
408,0.173077
409,0.173077
410,0.163462
411,0.173077
412,0.115385
413,0.163462
414,0.163462
