gen,brain1,brain2,brain3,brain4,brain5,brain6,brain7,brain8,brain9,brain10,brain11,brain12,brain13,brain14,brain15,brain16,brain17,brain18,brain19,brain20,brain21,brain22,brain23,brain24,brain25,brain26,brain27,brain28,brain29,brain30,brain31,brain32,brain33,brain34,brain35,brain36,brain37,brain38,brain39,brain40,brain41,brain42,brain43,brain44,brain45,brain46,brain47,brain48,brain49,brain50,brain51,brain52,brain53,brain54,brain55,brain56,brain57,brain58,brain59,brain60,brain61,brain62,brain63,brain64,brain65,brain66,brain67,brain68,brain69,brain70,brain71,brain72,brain73,brain74,brain75,brain76,brain77,brain78,brain79,brain80,brain81,brain82,brain83,brain84,brain85,brain86,brain87,brain88,brain89,brain90,brain91,brain92,brain93,brain94,brain95,brain96,brain97,brain98,brain99,brain100
0,100.635,97.694,86.480,56.072,26.923,9.361,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-26.437,-67.633,-95.756
1,192.719,192.719,185.828,185.813,182.524,180.118,180.118,179.159,177.364,177.364,146.087,146.087,129.149,129.149,128.286,128.286,123.193,117.118,108.779,108.779,102.757,102.418,102.418,96.193,84.389,70.112,70.112,65.449,65.449,56.055,53.652,53.652,43.802,23.389,11.808,9.763,9.340,8.818,8.818,8.441,8.441,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-5.065,-64.005
2,201.288,192.950,192.950,190.449,189.102,186.534,186.402,186.071,186.056,185.943,185.939,185.939,185.928,185.928,185.928,185.928,184.609,183.644,182.523,180.179,180.179,179.725,179.219,178.438,178.092,177.382,177.382,174.815,170.565,170.489,169.224,156.219,150.603,146.081,146.081,142.209,139.067,134.758,129.594,129.594,125.312,125.312,123.230,122.606,117.141,108.677,108.677,93.122,90.060,73.891,72.990,45.979,44.651,40.756,34.850,33.283,32.884,10.605,10.605,9.354,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161
3,226.639,201.217,197.054,195.363,194.453,192.734,192.734,188.982,187.980,187.591,187.246,187.072,186.917,186.414,186.393,186.277,185.972,185.929,185.843,185.814,185.812,185.811,185.806,185.801,185.801,185.801,185.801,185.801,185.801,185.801,185.801,185.652,184.794,184.478,184.447,184.232,183.564,183.363,182.505,180.690,177.753,171.061,169.615,127.559,125.667,118.435,117.137,112.803,110.416,103.420,97.556,93.588,89.834,88.274,87.332,85.277,80.079,73.341,68.277,66.894,53.487,39.184,15.897,8.452,8.452,6.317,-1.847,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161
4,262.531,221.004,204.776,204.046,201.279,201.149,197.136,195.316,194.943,194.435,193.866,193.632,193.143,192.754,192.754,191.378,190.676,190.472,189.201,189.116,188.983,188.956,188.662,188.618,188.532,187.944,187.715,187.541,187.442,187.276,187.210,186.895,186.853,186.399,186.354,186.223,185.950,185.910,185.902,185.820,185.790,185.790,185.787,185.771,185.771,185.771,185.771,185.771,185.771,185.688,184.274,182.693,181.153,179.747,172.871,165.110,163.009,160.880,159.530,158.709,149.799,127.093,123.130,115.548,113.825,113.290,112.323,106.641,101.564,87.603,75.780,74.452,57.059,50.193,49.370,44.783,14.406,10.786,9.342,9.340,8.151,2.446,-1.213,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161
5,269.079,224.313,221.088,219.292,207.468,204.601,204.191,201.235,201.025,199.497,198.695,197.214,196.608,195.972,195.564,195.411,195.078,194.521,193.847,193.788,193.683,193.126,192.980,192.881,192.881,191.652,190.873,189.326,189.133,188.949,188.867,188.867,188.363,188.320,187.582,186.942,186.817,186.352,185.988,185.869,185.869,185.869,185.869,185.869,185.708,184.721,183.232,177.405,174.421,167.885,166.796,157.996,140.898,137.251,136.022,136.022,120.320,116.128,109.840,106.138,104.813,91.401,89.347,87.057,46.438,37.735,34.168,31.251,13.054,10.897,9.755,8.383,7.647,6.434,0.725,-2.050,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161
6,263.161,231.159,226.801,226.109,221.155,217.469,215.824,207.370,204.799,204.225,201.350,200.775,200.709,200.606,199.477,198.550,198.304,197.603,197.507,197.203,197.159,196.621,196.227,196.041,195.488,195.456,195.348,195.249,195.068,194.553,193.888,193.881,193.303,193.052,192.658,191.473,189.978,188.274,187.945,187.253,186.553,186.128,186.114,186.095,185.962,185.946,185.928,185.925,185.925,185.919,185.919,185.919,185.919,185.919,185.919,185.919,185.919,185.919,185.919,185.770,185.759,185.691,185.659,183.541,161.661,146.108,140.519,125.884,118.575,113.694,112.369,104.766,103.171,101.606,101.470,93.831,87.484,86.618,81.403,27.662,27.253,21.230,14.005,8.238,-0.342,-2.155,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161
7,264.261,259.485,259.485,246.100,230.776,230.389,229.137,226.687,224.273,221.031,216.296,213.190,212.561,211.854,207.547,204.623,204.117,203.258,201.589,201.330,200.731,200.636,200.543,199.458,198.907,198.543,198.314,197.577,197.389,197.129,196.589,195.730,195.730,194.930,194.237,193.788,191.605,191.015,190.960,190.554,189.950,189.230,188.931,188.254,188.151,187.956,187.300,187.183,186.753,186.626,186.577,186.109,186.065,185.928,185.915,185.879,185.863,185.863,185.863,185.863,185.441,185.272,185.171,180.863,179.274,172.823,168.334,163.868,157.304,141.960,138.684,111.305,105.123,99.291,96.415,72.670,72.257,64.756,41.034,37.877,27.819,17.793,14.028,10.327,10.152,9.150,8.764,8.444,8.431,7.737,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161
8,263.757,263.757,258.157,243.687,238.200,234.573,234.003,224.562,223.961,220.938,216.667,214.438,214.368,213.362,212.669,212.405,211.940,207.277,205.696,204.761,204.012,203.291,201.347,201.157,199.863,194.340,193.648,193.617,193.248,193.064,189.478,188.382,187.797,187.677,187.491,187.431,187.015,186.730,186.645,186.447,186.422,186.229,186.197,185.991,185.916,185.843,185.795,185.784,185.784,185.781,185.781,185.781,185.781,185.781,185.781,185.781,185.781,185.781,185.781,185.781,185.781,185.663,185.509,185.422,185.389,178.840,178.459,171.063,151.772,142.099,140.850,121.900,119.577,118.760,112.899,112.679,105.684,104.480,100.143,55.977,27.606,20.516,18.546,17.073,11.803,10.415,10.053,9.837,9.676,9.348,0.976,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161
9,265.625,261.759,261.759,246.792,230.607,230.488,227.283,227.044,225.350,224.870,221.015,218.237,217.107,214.889,213.805,213.466,213.068,212.458,207.283,205.832,204.956,204.740,199.540,198.151,197.802,192.391,191.019,190.768,190.183,190.092,188.706,188.647,188.183,187.220,186.970,186.881,186.547,186.427,186.132,186.108,185.920,185.920,185.911,185.908,185.866,185.866,185.866,185.866,185.866,185.866,185.866,185.866,185.866,185.866,185.866,185.866,185.866,185.866,185.866,185.804,184.899,183.075,182.688,169.473,158.243,155.734,149.485,149.401,139.444,138.410,133.188,49.697,37.612,33.969,13.448,13.431,12.057,9.573,9.422,9.341,9.341,9.341,9.341,9.341,8.783,8.749,8.294,4.940,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-3.228
