gen,brain1,brain2,brain3,brain4,brain5,brain6,brain7,brain8,brain9,brain10,brain11,brain12,brain13,brain14,brain15,brain16,brain17,brain18,brain19,brain20,brain21,brain22,brain23,brain24,brain25,brain26,brain27,brain28,brain29,brain30,brain31,brain32,brain33,brain34,brain35,brain36,brain37,brain38,brain39,brain40,brain41,brain42,brain43,brain44,brain45,brain46,brain47,brain48,brain49,brain50,brain51,brain52,brain53,brain54,brain55,brain56,brain57,brain58,brain59,brain60,brain61,brain62,brain63,brain64,brain65,brain66,brain67,brain68,brain69,brain70,brain71,brain72,brain73,brain74,brain75,brain76,brain77,brain78,brain79,brain80,brain81,brain82,brain83,brain84,brain85,brain86,brain87,brain88,brain89,brain90,brain91,brain92,brain93,brain94,brain95,brain96,brain97,brain98,brain99,brain100
0,164.073,131.370,95.377,56.072,42.057,9.361,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-26.437,-81.573,-101.051
1,220.783,190.300,185.855,185.846,185.846,185.813,185.813,165.369,165.369,161.760,155.270,151.139,151.139,146.100,143.767,138.186,138.186,131.407,122.165,114.370,114.370,111.130,111.130,99.836,95.671,95.671,94.881,89.748,67.066,67.066,56.055,41.634,41.120,41.120,9.479,9.340,9.338,8.441,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-12.478,-40.171
2,220.821,190.380,187.574,186.353,186.137,186.116,186.068,186.003,186.003,185.970,185.961,185.961,185.928,185.928,185.928,185.928,185.928,185.928,185.928,185.928,185.928,175.578,170.838,165.475,165.475,164.154,162.786,155.361,151.210,151.210,146.174,143.857,139.370,138.241,138.241,131.421,122.192,120.300,114.367,77.973,69.814,66.013,66.013,56.416,43.327,43.327,9.355,8.443,8.443,8.443,8.443,3.036,1.615,0.249,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-5.916,-51.559
3,232.618,220.737,211.699,194.684,190.262,187.536,187.460,186.680,186.248,186.127,186.018,186.004,185.905,185.869,185.869,185.843,185.836,185.836,185.817,185.806,185.804,185.801,185.801,185.801,185.801,185.801,185.801,185.801,185.801,185.801,185.801,185.801,185.801,185.801,185.801,185.801,185.801,185.801,185.801,185.801,185.801,184.426,183.407,180.244,178.963,177.180,171.677,167.794,158.979,141.629,136.492,124.066,120.807,120.788,89.599,77.556,64.145,59.255,51.554,36.617,32.791,12.062,9.344,9.344,9.344,8.452,8.452,0.064,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-11.496,-101.051
4,234.532,220.896,212.024,196.563,194.736,192.964,190.252,190.216,188.969,188.848,188.295,188.215,188.137,187.523,187.507,187.431,186.881,186.649,186.593,186.231,186.208,186.087,186.050,185.982,185.960,185.957,185.921,185.915,185.842,185.842,185.813,185.805,185.805,185.792,185.782,185.771,185.771,185.771,185.771,185.771,185.771,185.771,185.771,185.771,185.771,185.771,185.771,185.771,185.771,184.393,178.963,177.697,176.398,166.748,156.534,152.935,141.179,121.852,113.011,106.061,101.761,92.894,87.214,81.006,44.817,43.574,24.105,23.467,11.435,10.484,9.340,9.340,9.163,8.453,8.453,8.453,8.311,3.054,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161
5,279.873,231.061,224.939,220.802,211.889,196.863,196.417,194.809,193.411,193.053,191.341,191.341,191.212,191.212,190.351,190.303,190.108,189.919,189.068,188.927,188.387,188.341,188.296,188.215,187.616,187.582,187.541,186.962,186.714,186.680,186.677,186.307,186.277,186.267,186.224,186.178,186.159,185.967,185.958,185.951,185.945,185.932,185.891,185.880,185.869,185.869,185.869,185.869,185.869,185.869,185.869,185.869,185.869,185.869,185.869,185.869,185.869,185.012,183.457,170.285,155.121,137.405,132.691,128.003,125.526,118.263,115.952,97.952,70.179,9.374,9.350,9.342,9.342,9.342,8.475,8.417,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161
6,277.134,268.328,263.302,256.877,231.118,220.902,216.399,211.946,196.867,196.488,195.824,194.972,194.461,193.341,193.132,191.970,191.284,191.284,191.260,191.260,190.415,190.361,190.150,189.833,189.558,189.456,189.126,188.997,188.779,188.774,188.254,187.585,187.107,186.813,186.656,186.570,186.419,186.128,185.983,185.957,185.943,185.919,185.919,185.919,185.919,185.919,185.919,185.919,185.919,185.919,185.919,185.919,185.919,185.919,185.919,185.919,185.265,180.989,177.496,176.582,158.038,153.091,131.193,120.543,108.446,81.276,80.936,69.590,40.187,33.635,33.635,27.425,12.359,11.098,10.742,9.356,9.356,8.378,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-26.010
7,283.127,272.400,268.730,265.687,239.525,232.619,220.859,212.096,203.340,198.467,196.668,196.631,196.404,195.778,194.859,194.345,193.315,193.075,193.020,191.878,191.224,191.224,191.172,191.172,189.005,188.769,187.848,187.480,187.163,186.522,186.497,186.455,186.171,186.129,186.068,186.055,186.004,185.949,185.910,185.871,185.863,185.863,185.863,185.863,185.863,185.863,185.863,185.863,185.863,185.863,185.491,181.904,176.712,175.785,175.304,174.381,162.275,157.297,156.407,148.482,147.774,145.139,135.134,124.014,96.947,66.467,48.973,42.986,40.434,37.677,32.726,26.851,23.815,22.478,15.176,13.972,13.972,11.016,9.590,9.574,9.500,9.437,9.365,9.357,9.357,9.357,9.357,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161
8,277.690,271.914,269.101,265.708,250.126,240.586,231.345,220.732,211.633,202.768,202.485,198.045,197.388,196.475,196.239,195.714,194.806,194.686,194.681,193.003,192.881,192.863,192.108,191.748,190.145,188.723,186.872,186.827,186.158,186.059,185.884,185.817,185.781,185.781,185.781,185.781,185.781,185.781,185.781,185.781,185.781,185.781,185.781,185.781,185.781,185.781,185.781,185.781,185.780,185.769,175.574,174.738,171.376,167.865,161.821,158.871,136.860,129.443,115.527,94.412,76.419,71.240,65.455,58.808,56.531,47.191,40.814,39.352,38.919,38.486,36.251,20.574,15.934,15.613,11.013,9.477,9.353,9.349,9.348,9.348,0.981,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161
9,281.645,273.790,270.968,268.833,266.680,260.915,244.003,240.087,233.477,225.825,220.942,220.827,211.822,202.875,202.817,201.129,196.890,196.342,194.888,194.785,194.307,194.212,193.216,193.134,189.243,188.438,188.015,187.146,186.750,186.197,186.170,186.170,186.150,186.036,186.025,186.005,185.981,185.866,185.866,185.866,185.866,185.866,185.866,185.866,185.866,185.866,185.866,185.866,185.866,185.866,185.866,172.917,161.289,151.170,138.646,121.610,118.017,92.139,90.924,86.545,62.140,57.445,56.053,56.053,55.643,53.110,48.513,39.914,38.494,31.853,27.859,22.063,12.516,10.180,10.177,10.073,9.812,9.506,9.341,9.341,9.341,9.341,9.341,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161,-2.161
